,17:27421752-27422348,1:55076267-55076421,12:105431753-105432327,5:56224548-56225091,1:14925290-14925902,16:89299792-89300475,5:38962421-38963215,2:25456597-25457770,unmapped_reads,total_mapped_reads,total_reads_in_bam,total_reads_in_fastq
sample9_S9_L001,0,0,4,0,0,0,0,7777,992,7781,8773,8784
sample306_S306_L001,0,0,0,0,0,0,0,2685,748,2685,3433,3436
Aditee_ALDH1L2_Meir3_wiz_74_S710_L001,0,0,75,302,0,0,0,1,13050,378,13428,13392
sample314_S314_L001,0,0,9,0,0,0,0,4239,544,4248,4792,4806
Aditee_KAZN_ZNF778ICTOR_wiz_130_S958_L001,0,0,0,0,7067,7014,1310,0,670,15391,16061,16178
Aditee_KAZN_ZNF778ICTOR_wiz_91_S919_L001,0,0,0,0,9540,9309,2048,1,974,20898,21872,22022
sample368_S368_L001,2,0,0,0,4,0,0,5320,692,5326,6018,6024
Aditee_ALDH1L2_Meir3_wiz_58_S694_L001,0,0,55,232,0,0,0,0,1430,287,1717,1692
Aditee_MYO18A_Fam151a_wiz_178_1_S620_L001,6617,0,0,0,0,0,0,0,3166,6617,9783,9828
Aditee_ALDH1L2_Meir3_wiz_18_S654_L001,0,0,117,577,0,0,0,1,25804,695,26499,26430
Aditee_MYO18A_Fam151a_wiz_169_S611_L001,8606,0,0,0,2,0,0,2,70814,8610,79424,79478
Aditee_MYO18A_Fam151a_wiz_25_S469_L001,9536,0,0,0,0,0,0,2,4688,9538,14226,14292
Aditee_KAZN_ZNF778ICTOR_wiz_177_S1003_L001,0,0,0,0,7306,6613,1040,0,678,14959,15637,15724
sample382_S382_L001,0,0,0,0,0,0,0,20,726,20,746,746
Aditee_MYO18A_Fam151a_wiz_120_S564_L001,9047,0,2,0,0,0,0,0,4272,9049,13321,13384
Aditee_KAZN_ZNF778ICTOR_wiz_126_S954_L001,0,0,0,0,8765,8397,1486,0,762,18648,19410,19560
sample21_S21_L001,0,0,3,0,0,0,0,7332,462,7335,7797,7812
Aditee_MYO18A_Fam151a_wiz_202_S626_L001,7237,0,0,0,0,0,0,0,3858,7237,11095,11158
sample14_S14_L001,0,0,8,0,0,0,0,6816,638,6824,7462,7494
sample186_S186_L001,0,0,2,0,0,0,0,3573,1040,3575,4615,4624
Aditee_KAZN_ZNF778ICTOR_wiz_135_S963_L001,0,0,0,6,8974,6599,2099,1,478,17679,18157,18292
Aditee_ALDH1L2_Meir3_wiz_174_S808_L001,0,0,142,62,0,0,0,8,484,212,696,694
sample42_S42_L001,0,0,0,0,0,0,0,18571,1210,18571,19781,19804
Aditee_ALDH1L2_Meir3_wiz_23_S659_L001,0,0,0,2,0,0,0,5,34256,7,34263,34268
sample265_S265_L001,0,0,2,0,0,0,0,3195,968,3197,4165,4176
sample349_S349_L001,0,0,0,0,0,0,0,0,1124,0,1124,1124
sample90_S90_L001,0,0,1,0,0,0,0,3401,904,3402,4306,4312
sample43_S43_L001,0,0,1,0,0,0,0,5115,1232,5116,6348,6360
Aditee_ALDH1L2_Meir3_wiz_175_S809_L001,0,0,190,1360,0,0,0,3,1382,1553,2935,2832
sample429_S429_L001,0,0,0,0,0,0,0,2683,1786,2683,4469,4470
Aditee_MYO18A_Fam151a_wiz_37_S481_L001,10140,0,0,0,0,0,0,2,55386,10142,65528,65604
Aditee_MYO18A_Fam151a_wiz_41_S485_L001,10513,0,0,0,0,0,0,0,4948,10513,15461,15514
Aditee_ALDH1L2_Meir3_wiz_82_S718_L001,0,0,51,358,0,0,0,2,1494,411,1905,1884
Aditee_ALDH1L2_Meir3_wiz_19_S655_L001,0,0,117,665,0,0,0,6,47980,788,48768,48720
sample157_S157_L001,0,0,5,0,0,0,0,2380,338,2385,2723,2732
sample407_S407_L001,0,0,8,0,0,0,0,5059,2538,5067,7605,7618
sample47_S47_L001,0,0,0,0,0,0,0,87,662,87,749,750
Aditee_ALDH1L2_Meir3_wiz_116_S752_L001,0,0,81,1392,0,0,0,4,21990,1477,23467,23446
Aditee_ALDH1L2_Meir3_wiz_197_S805_L001,0,0,196,1068,0,0,0,6,1068,1270,2338,2262
Aditee_KAZN_ZNF778ICTOR_wiz_141218_S1015_L001,0,0,0,2,9297,9534,1727,0,430,20560,20990,21138
sample52_S52_L001,0,0,7,0,0,0,0,5315,812,5322,6134,6148
Aditee_KAZN_ZNF778ICTOR_wiz_5_S833_L001,0,0,0,0,7474,7555,1365,0,27400,16394,43794,43910
sample301_S301_L001,0,0,0,0,0,0,0,3035,806,3035,3841,3846
Aditee_ALDH1L2_Meir3_wiz_86_S722_L001,0,0,151,1684,0,0,0,0,1092,1835,2927,2848
sample51_S51_L001,0,0,7,0,2,0,0,15603,1106,15612,16718,16742
Aditee_MYO18A_Fam151a_wiz_24_S468_L001,10519,0,0,0,0,0,0,1,5088,10520,15608,15666
sample144_S144_L001,0,0,8,0,0,0,0,3666,696,3674,4370,4386
sample288_S288_L001,0,0,23,0,0,0,0,2934,1272,2957,4229,4254
Aditee_KAZN_ZNF778ICTOR_wiz_103_S931_L001,0,0,0,0,7986,7258,1312,0,750,16556,17306,17428
sample313_S313_L001,0,0,2,0,0,0,0,2687,560,2689,3249,3256
Aditee_KAZN_ZNF778ICTOR_wiz_145_S973_L001,0,0,0,0,8068,7947,1451,0,658,17466,18124,18224
Aditee_ALDH1L2_Meir3_wiz_81_S717_L001,0,0,86,661,0,0,0,0,1140,747,1887,1850
Aditee_KAZN_ZNF778ICTOR_wiz_72_S900_L001,0,0,0,0,8780,8092,1585,0,704,18457,19161,19288
sample55_S55_L001,0,0,17,0,0,0,0,10821,1036,10838,11874,11904
Aditee_MYO18A_Fam151a_wiz_47_S491_L001,11859,0,0,0,0,0,0,1,4890,11860,16750,16840
sample209_S209_L001,0,0,13,0,0,0,0,7266,788,7279,8067,8090
Aditee_KAZN_ZNF778ICTOR_wiz_64_S892_L001,0,0,4,0,8345,7951,1557,0,466,17857,18323,18442
sample416_S416_L001,0,0,0,0,22,0,0,3635,1698,3657,5355,5360
Aditee_MYO18A_Fam151a_wiz_9_1_S453_L001,8977,0,0,0,0,0,0,3,59354,8980,68334,68398
sample181_S181_L001,0,0,0,0,0,0,0,1040,876,1040,1916,1916
Aditee_KAZN_ZNF778ICTOR_wiz_70_S898_L001,0,0,0,2,7998,7761,1488,0,55564,17249,72813,72944
sample174_S174_L001,0,0,1,0,0,0,0,6264,624,6265,6889,6902
Aditee_MYO18A_Fam151a_wiz_55_S499_L001,9669,0,2,0,0,0,0,6,60598,9677,70275,70330
sample364_S364_L001,0,0,0,4,0,4,0,86,1160,94,1254,1254
sample332_S332_L001,0,0,1,0,0,0,0,7026,1160,7027,8187,8198
Aditee_KAZN_ZNF778ICTOR_wiz_40_S868_L001,0,0,0,0,7367,7691,1727,0,33878,16785,50663,50774
Aditee_KAZN_ZNF778ICTOR_wiz_47_S875_L001,0,0,0,0,8495,6980,1674,0,794,17149,17943,18076
Aditee_KAZN_ZNF778ICTOR_wiz_22_S850_L001,0,0,0,2,6441,6639,1705,0,1736,14787,16523,16608
sample414_S414_L001,0,0,1,0,0,0,0,1441,1372,1442,2814,2816
sample312_S312_L001,0,0,5,0,0,0,0,8416,936,8421,9357,9376
sample286_S286_L001,0,0,1,0,0,0,0,3474,1052,3475,4527,4530
Aditee_KAZN_ZNF778ICTOR_wiz_45_S873_L001,0,0,0,0,6330,6767,1149,0,1120,14246,15366,15456
sample442_S442_L001,0,0,0,0,0,0,0,3806,1026,3806,4832,4842
sample319_S319_L001,0,0,0,0,0,0,0,3613,682,3613,4295,4302
Aditee_MYO18A_Fam151a_wiz_100_S544_L001,8644,0,0,0,0,0,0,0,3964,8644,12608,12660
Aditee_MYO18A_Fam151a_wiz_170_S612_L001,6015,0,1,0,2,4,0,0,64494,6022,70516,70550
sample358_S358_L001,0,0,0,0,0,0,0,8788,940,8788,9728,9738
sample413_S413_L001,0,0,1,0,0,0,0,7542,1678,7543,9221,9238
Aditee_KAZN_ZNF778ICTOR_wiz_114_S942_L001,0,0,0,0,8298,8463,1427,0,672,18188,18860,18988
sample331_S331_L001,0,0,2,0,0,0,0,8149,828,8151,8979,8994
sample241_S241_L001,0,0,6,0,2,0,0,4135,692,4143,4835,4852
Aditee_KAZN_ZNF778ICTOR_wiz_76_1_S904_L001,0,0,0,0,8223,7658,1404,0,4844,17285,22129,22244
Aditee_KAZN_ZNF778ICTOR_wiz_9_1_S837_L001,0,0,0,0,7103,6912,1358,1,626,15374,16000,16104
sample141_S141_L001,0,0,1,0,0,0,0,1661,554,1662,2216,2218
sample188_S188_L001,0,0,6,0,0,0,0,2592,366,2598,2964,2972
Aditee_ALDH1L2_Meir3_wiz_2_S638_L001,0,0,108,521,1,0,0,0,42918,630,43548,43498
Aditee_ALDH1L2_Meir3_wiz_33_S669_L001,0,0,75,1423,0,0,0,0,1780,1498,3278,3244
Aditee_MYO18A_Fam151a_wiz_12_S456_L001,10304,0,0,0,0,0,0,4,64246,10308,74554,74630
Aditee_KAZN_ZNF778ICTOR_wiz_25_S853_L001,2,0,0,0,8552,8918,1613,0,930,19085,20015,20154
Aditee_KAZN_ZNF778ICTOR_wiz_NC_S1020_L001,0,0,0,0,2,4,0,0,1948,6,1954,1954
Aditee_KAZN_ZNF778ICTOR_wiz_23_S851_L001,0,0,0,0,46,1006,1126,0,9126,2178,11304,11304
Aditee_KAZN_ZNF778ICTOR_wiz_100_S928_L001,0,0,0,0,9153,8872,1640,0,478,19665,20143,20292
sample228_S228_L001,0,0,1,0,0,0,0,3341,722,3342,4064,4068
Aditee_MYO18A_Fam151a_wiz_157_S601_L001,9963,0,0,0,0,0,0,5,40274,9968,50242,50306
sample53_S53_L001,0,0,6,0,0,0,0,4829,782,4835,5617,5630
Aditee_ALDH1L2_Meir3_wiz_79_S715_L001,0,0,331,136,0,0,0,0,82218,467,82685,82654
Aditee_KAZN_ZNF778ICTOR_wiz_68_S896_L001,0,0,0,0,10556,9090,1576,0,16518,21222,37740,37894
Aditee_MYO18A_Fam151a_wiz_3_S447_L001,8145,0,0,0,0,0,0,3,31004,8148,39152,39202
sample61_S61_L001,0,0,5,0,0,0,0,4668,858,4673,5531,5548
sample80_S80_L001,0,0,5,0,0,0,0,7546,1148,7551,8699,8710
sample170_S170_L001,0,0,1,0,0,0,0,3925,484,3926,4410,4418
Aditee_ALDH1L2_Meir3_wiz_117_S753_L001,0,0,213,2179,0,0,0,8,38046,2400,40446,40366
Aditee_KAZN_ZNF778ICTOR_wiz_170_S996_L001,0,0,0,0,8345,7752,1353,0,854,17450,18304,18416
Aditee_ALDH1L2_Meir3_wiz_173_S807_L001,0,0,195,82,0,0,0,8,9924,285,10209,10208
Aditee_KAZN_ZNF778ICTOR_wiz_163_S991_L001,0,0,0,0,6353,6508,1242,0,854,14103,14957,15058
Aditee_KAZN_ZNF778ICTOR_wiz_8_S836_L001,0,0,0,0,3694,3503,581,0,8706,7778,16484,16540
Aditee_KAZN_ZNF778ICTOR_wiz_4_S832_L001,0,0,0,0,6379,6314,1009,0,1154,13702,14856,14946
sample97_S97_L001,0,0,0,0,0,0,0,1466,524,1466,1990,1992
Aditee_ALDH1L2_Meir3_wiz_26_S662_L001,0,0,86,1767,0,0,0,6,54448,1859,56307,56252
Aditee_MYO18A_Fam151a_wiz_15_S459_L001,6155,0,0,0,0,0,0,0,3076,6155,9231,9270
Aditee_KAZN_ZNF778ICTOR_wiz_176_S1002_L001,0,0,1,0,7985,8091,1582,0,502,17659,18161,18286
Aditee_ALDH1L2_Meir3_wiz_107_S743_L001,0,0,71,1070,2,0,0,0,36392,1143,37535,37494
sample256_S256_L001,0,0,15,0,0,0,0,7213,838,7228,8066,8092
Aditee_KAZN_ZNF778ICTOR_wiz_110_S938_L001,0,0,0,0,6979,7500,1444,0,554,15923,16477,16614
sample240_S240_L001,0,0,0,0,0,0,0,10484,572,10484,11056,11068
Aditee_MYO18A_Fam151a_wiz_67_S511_L001,10108,0,0,0,0,0,0,1,4698,10109,14807,14864
sample5_S5_L001,0,0,1,0,0,0,0,6194,1068,6195,7263,7276
sample421_S421_L001,0,0,1,0,0,0,0,3423,1066,3424,4490,4498
Aditee_KAZN_ZNF778ICTOR_wiz_31_S859_L001,0,0,0,0,8465,7848,1635,0,630,17948,18578,18726
Aditee_MYO18A_Fam151a_wiz_182_S624_L001,6,0,0,0,2,0,0,0,536,8,544,544
Aditee_ALDH1L2_Meir3_wiz_38_S674_L001,0,0,71,356,0,0,0,0,1094,427,1521,1478
sample271_S271_L001,0,0,39,0,0,0,0,7515,732,7554,8286,8334
sample420_S420_L001,0,0,1,0,0,0,0,7821,926,7822,8748,8764
Aditee_MYO18A_Fam151a_wiz_108_S552_L001,8657,0,2,0,1,0,0,0,22202,8660,30862,30930
sample91_S91_L001,0,0,6,0,0,0,0,10189,1248,10195,11443,11472
sample218_S218_L001,0,0,5,0,0,0,0,3747,934,3752,4686,4694
Aditee_KAZN_ZNF778ICTOR_wiz_81_S909_L001,0,0,0,0,8235,7059,1227,0,11772,16521,28293,28406
Aditee_MYO18A_Fam151a_wiz_66_S510_L001,10220,0,0,0,0,0,0,0,5170,10220,15390,15456
sample261_S261_L001,0,0,0,0,0,0,0,4384,628,4384,5012,5018
sample45_S45_L001,0,0,1,0,0,0,0,4408,1358,4409,5767,5772
sample438_S438_L001,0,0,3,0,0,0,0,5888,1296,5891,7187,7202
sample127_S127_L001,0,0,0,0,0,0,0,4235,714,4235,4949,4954
sample162_S162_L001,0,0,6,0,0,0,0,5047,1026,5053,6079,6096
Aditee_ALDH1L2_Meir3_wiz_144_S780_L001,0,0,170,1417,0,0,0,3,852,1590,2442,2372
Aditee_MYO18A_Fam151a_wiz_63_S507_L001,9175,0,1,0,0,0,0,0,70442,9176,79618,79672
sample326_S326_L001,0,0,1,0,0,0,0,2345,360,2346,2706,2710
Aditee_MYO18A_Fam151a_wiz_201_S625_L001,8438,0,0,0,0,0,2,0,3958,8440,12398,12448
Aditee_MYO18A_Fam151a_wiz_206_1_S628_L001,6365,0,0,0,0,0,0,1,26002,6366,32368,32412
sample178_S178_L001,0,0,0,0,0,0,0,2143,792,2143,2935,2942
Aditee_MYO18A_Fam151a_wiz_NC_S636_L001,13,0,0,0,0,1,0,3,42778,17,42795,42800
sample272_S272_L001,0,0,1,0,1,0,0,8924,1294,8926,10220,10238
sample396_S396_L001,2,0,0,0,6,0,0,1922,1134,1930,3064,3066
sample273_S273_L001,0,0,1,0,0,0,0,3074,486,3075,3561,3566
Aditee_MYO18A_Fam151a_wiz_58_S502_L001,9649,0,0,0,0,0,0,3,18970,9652,28622,28680
Aditee_ALDH1L2_Meir3_wiz_158_S794_L001,0,0,253,1243,0,0,0,0,1256,1496,2752,2666
sample285_S285_L001,0,0,0,0,0,0,0,5011,852,5011,5863,5874
sample198_S198_L001,0,0,2,0,0,0,0,778,1158,780,1938,1944
sample205_S205_L001,0,0,22,0,0,0,0,5022,876,5044,5920,5956
sample361_S361_L001,6,0,19,4,0,0,0,7,1414,36,1450,1470
Aditee_KAZN_ZNF778ICTOR_wiz_129_S957_L001,0,0,0,0,8519,8627,1744,0,630,18890,19520,19646
Aditee_KAZN_ZNF778ICTOR_wiz_131_S959_L001,0,0,0,0,7610,7168,1954,0,990,16732,17722,17824
Aditee_KAZN_ZNF778ICTOR_wiz_32_S860_L001,0,0,1,0,8543,7562,1416,0,700,17522,18222,18362
Aditee_ALDH1L2_Meir3_wiz_154_S790_L001,0,0,144,736,0,0,0,2,13462,882,14344,14284
sample137_S137_L001,0,0,4,0,0,0,0,3453,708,3457,4165,4176
Aditee_ALDH1L2_Meir3_wiz_76_1_S712_L001,0,0,110,549,0,0,0,2,50980,661,51641,51588
Aditee_ALDH1L2_Meir3_wiz_106_S742_L001,0,0,85,1104,0,0,0,4,1466,1193,2659,2622
Aditee_KAZN_ZNF778ICTOR_wiz_55_S883_L001,0,0,0,4,4741,5170,990,1,70550,10906,81456,81512
Aditee_ALDH1L2_Meir3_wiz_177_S811_L001,0,0,496,136,0,0,0,0,532,632,1164,1136
sample321_S321_L001,0,0,11,0,0,0,0,1852,664,1863,2527,2544
Aditee_KAZN_ZNF778ICTOR_wiz_82_S910_L001,0,0,0,0,4525,4996,1298,0,1790,10819,12609,12684
sample423_S423_L001,0,0,2,0,0,0,0,1874,1346,1876,3222,3228
sample110_S110_L001,0,0,5,0,0,0,0,7728,756,7733,8489,8506
sample325_S325_L001,0,0,0,0,0,0,0,5599,874,5599,6473,6480
Aditee_MYO18A_Fam151a_wiz_29_S473_L001,11054,0,0,0,0,0,0,1,62680,11055,73735,73800
Aditee_ALDH1L2_Meir3_wiz_6_S642_L001,0,0,103,1478,0,0,0,0,1384,1581,2965,2914
Aditee_KAZN_ZNF778ICTOR_wiz_199_S1007_L001,0,0,0,0,6612,6052,1923,0,1076,14587,15663,15758
sample112_S112_L001,0,0,6,0,0,0,0,3459,942,3465,4407,4420
sample372_S372_L001,0,0,0,0,0,0,0,370,940,370,1310,1310
sample115_S115_L001,0,0,9,0,0,0,0,10263,708,10272,10980,11006
Aditee_KAZN_ZNF778ICTOR_wiz_26_S854_L001,0,0,0,0,5717,6709,1579,0,1528,14005,15533,15658
Aditee_KAZN_ZNF778ICTOR_wiz_120_S948_L001,0,0,0,0,9373,8590,1751,0,670,19714,20384,20516
sample134_S134_L001,0,0,2,0,0,0,0,2332,554,2334,2888,2894
sample184_S184_L001,0,0,2,0,0,0,0,1969,866,1971,2837,2842
Aditee_ALDH1L2_Meir3_wiz_62_S698_L001,0,0,179,626,0,0,0,0,1242,805,2047,1972
sample142_S142_L001,0,0,2,0,0,0,0,2238,710,2240,2950,2958
sample133_S133_L001,0,0,0,0,0,0,0,2652,948,2652,3600,3606
sample347_S347_L001,0,0,0,0,0,0,0,2,848,2,850,850
sample226_S226_L001,0,0,11,0,0,0,0,7228,856,7239,8095,8128
Aditee_MYO18A_Fam151a_wiz_126_S570_L001,8116,0,0,0,0,0,0,0,4024,8116,12140,12200
Aditee_MYO18A_Fam151a_wiz_92_S536_L001,10344,0,0,0,0,0,0,0,4440,10344,14784,14834
sample66_S66_L001,0,0,1,0,0,0,0,157,590,158,748,750
Aditee_ALDH1L2_Meir3_wiz_148_S784_L001,0,0,168,1317,0,0,0,2,858,1487,2345,2276
sample60_S60_L001,0,0,1,0,0,0,0,2418,810,2419,3229,3230
sample11_S11_L001,0,0,6,0,0,0,0,5390,772,5396,6168,6186
sample140_S140_L001,1,0,0,0,0,0,0,3438,1860,3439,5299,5304
Aditee_MYO18A_Fam151a_wiz_16_S460_L001,8896,0,0,0,0,0,0,0,4342,8896,13238,13292
sample282_S282_L001,0,0,0,0,0,0,0,6794,838,6794,7632,7636
sample172_S172_L001,0,0,8,0,0,0,0,4053,1078,4061,5139,5154
sample1_S1_L001,0,0,6,0,0,0,0,3152,650,3158,3808,3826
sample405_S405_L001,0,0,0,0,0,0,0,1512,546,1512,2058,2062
sample340_S340_L001,2,0,0,0,4,0,0,4,564,10,574,574
Aditee_MYO18A_Fam151a_wiz_148_S592_L001,11546,0,1,0,0,0,0,0,4858,11547,16405,16474
Aditee_KAZN_ZNF778ICTOR_wiz_141430_S1018_L001,0,0,0,0,11640,8382,873,0,136,20895,21031,21182
Aditee_KAZN_ZNF778ICTOR_wiz_14_S842_L001,0,0,0,0,8224,8607,1464,0,1220,18295,19515,19658
Aditee_MYO18A_Fam151a_wiz_93_S537_L001,9886,0,0,0,0,0,0,0,4532,9886,14418,14482
sample105_S105_L001,0,0,6,0,0,0,0,1691,1184,1697,2881,2890
sample359_S359_L001,26,0,20,0,0,0,0,5407,1088,5453,6541,6568
contig_mean,1636.402941,0,24.78823529,171.0205882,1388.064706,1345.4,264.7166667,2148.686275,8553.629412,6979.079412,15532.70882,15560.38039
contig_median,0,0,1,0,0,0,0,3.5,1058,5697,8709,8723
contig_sum,1669131,0,25284,174441,1415826,1372308,270011,2191660,8724702,7118661,15843363,15871588
